Datum,Uhrzeit,Temp1,Temp2,Temp3,Gewicht1,Gewichtsabw1,Gewicht2,Gewichtsabw2,Gewicht3,Gewichtsabw3,Gewicht4,Gewichtsabw4,Gesamtgewicht,Gewichtabw
2015-07-05,00:06:00,34.812,27.625,0,27.615,0.003,25.685,0.005,23.541,0.004,29.346,0.005,106.187,0.017
2015-07-05,00:16:00,34.75,27.375,0,27.595,0.003,25.71,0.004,23.519,0.004,29.353,0.004,106.17699999999999,0.015
2015-07-05,00:26:00,34.812,27.0,0,27.559,0.004,25.758,0.003,23.466,0.004,29.39,0.003,106.173,0.014
2015-07-05,00:36:01,34.75,27.25,0,27.529,0.003,25.789,0.003,23.437,0.006,29.419,0.0,106.17399999999999,0.012
2015-07-05,00:46:00,34.875,26.812,0,27.537,0.004,25.792,0.005,23.442,0.003,29.407,0.004,106.178,0.016
2015-07-05,00:56:00,34.625,26.937,0,27.526,0.004,25.809,0.004,23.431,0.004,29.416,0.004,106.182,0.016
2015-07-05,01:06:00,34.875,26.812,0,27.509,0.003,25.836,0.003,23.414,0.0,29.429,0.003,106.188,0.009
2015-07-05,01:16:01,34.937,26.625,0,27.516,0.004,25.833,0.005,23.413,0.005,29.404,0.005,106.166,0.019
2015-07-05,01:26:00,34.875,27.0,0,27.519,0.003,25.831,0.005,23.394,0.0,29.39,0.005,106.134,0.013
2015-07-05,01:36:00,34.875,27.812,0,27.487,0.005,25.864,0.004,23.357,0.006,29.416,0.004,106.124,0.019
2015-07-05,01:46:00,34.875,26.812,0,27.447,0.004,25.922,0.004,23.307,0.003,29.445,0.004,106.12100000000001,0.015
2015-07-05,01:56:01,34.812,26.937,0,27.442,0.004,25.926,0.004,23.293,0.005,29.452,0.006,106.113,0.019
2015-07-05,02:06:00,34.875,26.437,0,27.434,0.005,25.926,0.004,23.302,0.005,29.437,0.003,106.099,0.017
2015-07-05,02:16:00,34.937,25.75,0,27.44,0.0,25.924,0.003,23.304,0.004,29.437,0.003,106.105,0.01
2015-07-05,02:26:00,34.875,25.875,0,27.361,0.004,26.008,0.005,23.218,0.0,29.515,0.003,106.102,0.012
2015-07-05,02:36:01,34.875,26.25,0,27.397,0.005,25.97,0.004,23.259,0.004,29.479,0.004,106.105,0.017
2015-07-05,02:46:00,34.875,25.437,0,27.409,0.003,25.992,0.003,23.256,0.004,29.47,0.004,106.127,0.014
2015-07-05,02:56:00,34.937,25.875,0,27.325,0.004,26.093,0.006,23.158,0.004,29.555,0.0,106.131,0.014
2015-07-05,03:06:00,34.875,25.812,0,27.224,0.0,26.196,0.004,23.071,0.003,29.662,0.003,106.15299999999999,0.01
2015-07-05,03:16:01,34.937,26.125,0,27.213,0.004,26.196,0.004,23.053,0.005,29.676,0.005,106.138,0.018
2015-07-05,03:26:00,34.937,26.875,0,27.242,0.006,26.15,0.005,23.075,0.004,29.608,0.005,106.075,0.02
2015-07-05,03:36:00,34.937,27.5,0,27.271,0.004,26.082,0.003,23.11,0.003,29.547,0.009,106.00999999999999,0.019
2015-07-05,03:46:00,34.937,27.812,0,27.29,0.004,26.032,0.0,23.123,0.004,29.473,0.005,105.918,0.013
2015-07-05,03:56:01,34.937,27.5,0,27.296,0.004,25.984,0.003,23.126,0.007,29.444,0.005,105.85000000000001,0.019
2015-07-05,04:06:00,35.0,27.312,0,27.224,0.004,26.04,0.004,23.098,0.004,29.504,0.004,105.866,0.016
2015-07-05,04:16:00,35.0,28.062,0,27.292,0.003,25.969,0.005,23.117,0.005,29.497,0.0,105.875,0.013
2015-07-05,04:26:00,35.0,28.125,0,27.269,0.005,25.97,0.004,23.114,0.004,29.537,0.003,105.88999999999999,0.016
2015-07-05,04:36:01,35.0,28.812,0,27.335,0.006,25.923,0.004,23.189,0.0,29.485,0.004,105.932,0.014
2015-07-05,04:46:00,34.937,27.875,0,27.407,0.004,25.881,0.005,23.239,0.003,29.484,0.004,106.011,0.016
