Datum,Uhrzeit,Temp1,Temp2,Temp3,Gewicht1,Gewichtsabw1,Gewicht2,Gewichtsabw2,Gewicht3,Gewichtsabw3,Gewicht4,Gewichtsabw4,Gesamtgewicht,Gewichtabw
2015-07-04,00:06:01,34.937,26.625,0,27.391,0.004,24.664,0.003,23.259,0.004,28.215,0.005,103.529,0.016
2015-07-04,00:16:00,34.875,26.625,0,27.396,0.005,24.639,0.004,23.277,0.004,28.199,0.003,103.511,0.016
2015-07-04,00:26:00,34.937,27.375,0,27.367,0.005,24.689,0.005,23.229,0.003,28.218,0.005,103.503,0.018
2015-07-04,00:36:00,34.937,26.75,0,27.385,0.005,24.678,0.004,23.246,0.004,28.198,0.006,103.507,0.019
2015-07-04,00:46:01,34.937,26.0,0,27.393,0.004,24.668,0.004,23.254,0.005,28.182,0.004,103.497,0.017
2015-07-04,00:56:00,34.875,26.5,0,27.281,0.004,24.778,0.005,23.166,0.005,28.288,0.0,103.51299999999999,0.014
2015-07-04,01:06:00,34.937,26.625,0,27.384,0.006,24.697,0.004,23.266,0.003,28.17,0.005,103.51700000000001,0.018
2015-07-04,01:16:00,34.937,26.062,0,27.358,0.004,24.726,0.004,23.225,0.004,28.196,0.005,103.505,0.017
2015-07-04,01:26:01,34.937,26.812,0,27.36,0.003,24.734,0.0,23.221,0.006,28.198,0.004,103.513,0.013
2015-07-04,01:36:00,35.0,25.812,0,27.349,0.004,24.743,0.003,23.228,0.004,28.188,0.004,103.508,0.015
2015-07-04,01:46:00,35.0,24.562,0,27.259,0.005,24.872,0.004,23.145,0.005,28.266,0.006,103.542,0.02
2015-07-04,01:56:00,34.937,25.187,0,27.215,0.004,24.906,0.005,23.12,0.003,28.302,0.005,103.543,0.017
2015-07-04,02:06:01,35.0,24.687,0,27.187,0.004,24.928,0.003,23.09,0.003,28.332,0.005,103.537,0.015
2015-07-04,02:16:00,34.937,25.437,0,27.264,0.004,24.855,0.005,23.17,0.003,28.239,0.006,103.528,0.018
2015-07-04,02:26:00,34.937,24.625,0,27.189,0.005,24.933,0.005,23.092,0.003,28.323,0.005,103.537,0.018
2015-07-04,02:36:00,34.937,24.812,0,27.214,0.003,24.919,0.0,23.091,0.0,28.311,0.005,103.535,0.008
2015-07-04,02:46:01,34.875,24.812,0,27.233,0.005,24.911,0.004,23.116,0.005,28.294,0.004,103.554,0.018
2015-07-04,02:56:00,34.937,25.187,0,27.162,0.005,24.992,0.005,23.033,0.0,28.391,0.005,103.578,0.015
2015-07-04,03:06:00,34.937,25.687,0,27.145,0.005,25.012,0.005,23.019,0.005,28.401,0.005,103.57699999999998,0.02
2015-07-04,03:16:00,34.937,25.187,0,27.037,0.004,25.105,0.004,22.908,0.004,28.517,0.005,103.567,0.017
